ids,cpl1,cpl2,cpl3,cpl4,cpl5,cpl6,cpl7,cpl8
66,8.37343,10.4718,11.5037,1.05111e-08,4.10497,0.00651875,0.00126776,0.0779592
67,8.57189,10.8611,10.7673,1.07794e-08,3.75235,0.00167795,0.00216766,0.0642399
68,8.41306,10.4746,9.57378,1.08301e-08,4.53089,0.00461504,0.000738456,0.0500355
69,8.53593,10.7917,10.622,1.08497e-08,3.77233,0.00214871,0.00203687,0.0690252
70,8.57514,10.8251,10.885,1.07108e-08,3.97354,0.000787014,0.00344738,0.0519766
71,8.51908,10.6089,12.2076,1.05338e-08,4.75871,0.00230115,0.00151978,0.0662522
72,8.42793,10.4842,9.47093,1.08286e-08,4.40807,0.0088403,0.000600067,0.0499632
73,8.59824,10.8627,10.9412,1.06644e-08,4.02104,0.000583392,0.00342323,0.0425862
74,8.38845,10.4285,11.927,1.0485e-08,4.50504,0.00563716,0.000817301,0.0619073
75,8.33669,10.3921,11.6233,1.08259e-08,4.74164,0.00181948,0.00162829,0.0613388
76,8.49866,10.6704,10.9162,1.06216e-08,4.12234,0.00403622,0.00274929,0.0668272
77,8.31982,10.3173,11.8045,1.04398e-08,4.37765,0.0119865,0.00122449,0.0594714
78,8.20511,10.1025,11.987,1.04161e-08,5.06469,0.00993609,0.00212217,0.0770964
79,8.33108,10.3802,11.64,1.05071e-08,4.51556,0.00338785,0.00138554,0.0650353
80,8.61448,10.7776,10.5918,1.05996e-08,4.42952,0.00275948,0.00252025,0.0485777
81,8.18789,10.1211,11.978,1.03823e-08,5.25514,0.000178523,0.00125238,0.0724566
82,8.32476,10.3554,11.6682,1.05067e-08,4.52096,0.00576405,0.00160905,0.0668496
83,8.2236,10.1389,11.8173,1.03825e-08,5.04682,0.0085517,0.00126378,0.0797458
84,8.24232,10.2397,11.7581,1.04769e-08,4.56598,0.00609707,0.00166388,0.0712621
85,8.39098,10.4459,11.3385,1.051e-08,4.12404,0.0119374,0.000796656,0.084591
86,8.44621,10.6024,10.5673,1.05567e-08,4.07994,0.00502097,0.00311624,0.0833301
87,8.3124,10.2933,11.9362,1.03873e-08,5.21771,0.000229258,0.00206814,0.0737896
88,8.38027,10.4356,11.461,1.04719e-08,4.0387,0.0126708,0.000503914,0.0831189
89,8.26842,10.2429,11.809,1.04695e-08,4.89184,0.00624096,0.00174031,0.0750389
90,8.4079,10.4692,11.4242,1.08394e-08,4.90302,0.00167941,0.00282211,0.0698998
91,8.4655,10.5719,11.3585,1.05748e-08,4.45213,0.00377173,0.00333307,0.0750681
92,8.27132,10.2439,11.8939,1.04668e-08,4.9654,0.00542386,0.00173283,0.0735557
93,8.50536,10.6484,11.1786,1.03184e-08,4.29243,0.00363734,0.00242972,0.0466549
94,8.19935,10.1014,12.1909,1.03782e-08,5.29065,0.00556418,0.00135078,0.0818361
95,8.44833,10.5163,9.79302,1.08135e-08,4.48003,0.00565685,0.000730415,0.0601482
96,8.46759,10.6098,10.9175,1.05057e-08,4.18395,0.00549783,0.00153349,0.0767458
97,8.52313,10.6794,10.5108,1.09208e-08,4.16644,0.00434194,0.00135833,0.10474
98,8.52501,10.6798,11.1698,1.07715e-08,4.16652,0.00432427,0.00238418,0.05985
99,8.13136,10.0544,12.1938,1.04259e-08,5.25849,0.000793951,0.000545038,0.0771346
100,8.5293,10.6879,11.1766,1.07754e-08,4.17207,0.00393994,0.00243373,0.0596217
101,8.54246,10.6903,10.8859,1.06053e-08,4.50333,0.0024645,0.0017921,0.0568861
102,8.42792,10.4615,11.0594,1.05663e-08,4.53051,0.00824648,0.000583643,0.0855253
103,8.47217,10.5425,12.0925,1.05078e-08,4.57547,0.00553297,0.00173932,0.0678058
104,8.4253,10.5793,11.028,1.02111e-08,4.2219,0.00295073,0.00314275,0.0500665
105,8.56767,10.6732,11.7942,1.05442e-08,4.64991,0.00348571,0.00078975,0.0620349
106,8.5312,10.6875,10.5296,1.09092e-08,4.16553,0.00477272,0.00158032,0.102674
107,8.11299,10.0292,12.1925,1.04197e-08,5.27838,0.000818794,0.000539953,0.0785628
108,8.42903,10.4647,11.081,1.05628e-08,4.51441,0.0084608,0.0006766,0.0859995
109,8.55395,10.6841,11.7673,1.05364e-08,4.55582,0.00333304,0.00284935,0.0608908
110,8.44024,10.493,11.7263,1.04638e-08,4.30196,0.00935735,0.000273617,0.0927756
111,8.52995,10.567,10.609,1.07683e-08,5.03152,0.00435579,0.00331531,0.0922635
112,8.22942,10.2439,11.5809,1.06379e-08,4.50565,0.00538809,0.000689843,0.122916
113,8.41286,10.4698,11.1703,1.05193e-08,4.45523,0.00733884,0.00100649,0.0871649
114,8.48802,10.6114,11.1625,1.05769e-08,4.15705,0.00799628,0.000780686,0.0741785
115,8.16309,10.1816,9.96069,1.08829e-08,4.35057,0.00514325,0.00130152,0.0714916
116,8.56473,10.8633,11.1391,1.05354e-08,3.60518,0.00276285,0.00250394,0.0537026
117,8.51872,10.7194,9.97993,1.06182e-08,4.04576,0.00206709,0.00111185,0.0607812
118,8.54855,10.7878,11.1628,1.05471e-08,3.76748,0.0038975,0.000843836,0.0499372
119,8.14615,10.1169,9.18756,1.09065e-08,4.71203,0.00396753,0.00107817,0.0797744
120,8.66913,10.96,10.8502,1.05023e-08,3.73261,0.00305092,0.000966046,0.0500785
121,8.1546,10.1502,9.84846,1.03196e-08,4.68897,0.0021996,0.000184139,0.0894263
122,8.15288,10.1108,9.28252,1.02505e-08,5.03601,0.00138194,8.36354e-06,0.100855
123,8.10903,10.0542,9.05195,1.0917e-08,4.84668,0.00386747,0.00066686,0.07773
124,8.3344,10.4155,11.207,1.02715e-08,4.13715,0.00677865,0.000452345,0.0477126
125,8.21847,10.182,9.4456,1.03752e-08,4.9984,0.0034943,0.00145908,0.0856691
126,8.14119,10.1118,9.17985,1.08613e-08,4.67711,0.00491781,0.00102401,0.0763604
127,8.51136,10.7598,11.8019,1.03025e-08,3.74123,0.00318121,0.00138735,0.0470173
128,8.27423,10.3525,10.781,1.07246e-08,4.25458,0.00259764,0.0011434,0.0775642
129,8.231,10.2182,9.42531,1.02755e-08,4.94483,0.0018883,0.000890839,0.0988299
130,8.60498,10.7436,11.1668,1.09123e-08,4.65364,0.00122618,0.00208155,0.0645176
131,8.27431,10.365,10.8066,1.06754e-08,4.09119,0.00445495,0.00107348,0.0730853
